station,lat,lon,mean_demand,cluster_id,cluster_label
des Érables / Rachel,45.533313304815366,-73.56671154499054,8.416688741721854,1,low
du Canal / McLaughlin,45.42969214118378,-73.6694884300232,9.933362949800088,1,low
du Havre / de Rouen,45.53456256501449,-73.55478646466509,5.870013568521031,1,low
du Mont-Royal / Augustin-Frigon,45.54355786336148,-73.56780052185059,9.306358381502891,1,low
du Mont-Royal / Clark,45.51941,-73.58685,37.305025593299206,2,high
du Parc-La Fontaine / Duluth,45.52451761488783,-73.57197672128677,11.221558441558441,1,low
du Parc-La Fontaine / Roy,45.5232203879173,-73.56916093829568,8.666839916839917,1,low
du Parc-Lafontaine / Rachel,45.52551168509886,-73.57424452900887,15.457243816254417,0,medium
du President-Kennedy / Union,45.505102242483595,-73.57187882065773,8.624814043439452,1,low
du Rosaire / St-Hubert,45.54481928225348,-73.6215104162693,6.310792893131795,1,low
Édouard-Montpetit / de Stirling,45.50698322682884,-73.61495793488301,10.590481038432172,1,low
Émile-Duployé / Rachel,45.52970707609694,-73.56998120721983,17.9447388342165,0,medium
Émile-Duployé / Sherbrooke,45.52719536319051,-73.5645255446434,21.92987951807229,2,high
